"paper","cross","paper_ID","exp_ID","cntrl_ID","obs_ID","biome","climate","region","soil_suborder","duration_first","duration_last","C_type","C_rate","C_app","C_app_tm","C_app_ma","C_app_py","C_app_ty","C_total","C_year","plant","plant_category","plant_anper","plant_gfs","plant_apgfs","plant_measurement","presence","prior_veg","removal_extent","seeding_exotic","seeding_native","plot","factorial","n_trt","n_cntrl","mean_trt","SD_trt","mean_cntrl","SD_cntrl","yi","vi","dfc","dlc","cratc","capc","capm","capt","plotc","seedn"
"Alpert_2000","less invaded",1,1,1,1,"coastal grassland","Mediterranean","coastal CA, USA",NA,22,22,"sawdust",689.793918918919,1,0,0,1,1,689.793918918919,"first year","native grass (less invaded)","native graminoid","unknown","graminoid","unknown graminoid","by lifeform","exotic & native","woody removed","none",0,0,1,NA,10,10,6,15.8113883008419,14,15.8113883008419,-0.484535024402748,0.205869354746824,"19-24","19-24","620-700","1","1 application total","1 application total","1","native not seeded"
"Alpert_2000","less invaded",1,1,3,3,"coastal grassland","Mediterranean","coastal CA, USA",NA,22,22,"sawdust",689.793918918919,1,0,0,1,1,689.793918918919,"first year","native forb (less invaded)","native forb","unknown","forb","unknown forb","by lifeform","exotic & native","woody removed","none",0,0,1,NA,10,10,22,15.8113883008419,26,22.1359436211787,-0.199142668314471,0.200991445058585,"19-24","19-24","620-700","1","1 application total","1 application total","1","native not seeded"
"Alpert_2000","more invaded",1,2,1,5,"coastal grassland","Mediterranean","coastal CA, USA",NA,22,22,"sawdust",689.793918918919,1,0,0,1,1,689.793918918919,"first year","native grass (more invaded)","native graminoid","unknown","graminoid","unknown graminoid","by lifeform","exotic & native","woody removed","none",0,0,1,NA,10,10,1,3.16227766016838,18,56.9209978830308,-0.403856829381049,0.204077508465943,"19-24","19-24","620-700","1","1 application total","1 application total","1","native not seeded"
"Alpert_2000","more invaded",1,2,3,7,"coastal grassland","Mediterranean","coastal CA, USA",NA,22,22,"sawdust",689.793918918919,1,0,0,1,1,689.793918918919,"first year","native forb (more invaded)","native forb","unknown","forb","unknown forb","by lifeform","exotic & native","woody removed","none",0,0,1,NA,10,10,44,37.9473319220206,23,18.9736659610103,0.670352498916603,0.211234311820093,"19-24","19-24","620-700","1","1 application total","1 application total","1","native not seeded"
"Blumenthal_2003","2000 harvest",6,7,11,165,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",133,1,0,0,1,1,133,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.013,0.026,0,0,0.737054185538849,0.443829110287683,"12-18","13-18","133-160","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,166,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",210,1,0,0,1,1,210,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.004,0.008,0,0,0.737054185538849,0.443829110287683,"12-18","13-18","210-300","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,168,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",529,1,0,0,1,1,529,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,2,6,0.064,0.0537401153701776,0,0,2.53390409453027,1.067958539184,"12-18","13-18","506-600","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,169,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",666,1,0,0,1,1,666,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.006,0.0103923048454133,0,0,0.95936878869983,0.551132692929521,"12-18","13-18","620-700","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,170,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",839,1,0,0,1,1,839,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.0106666666666667,0.00923760430703401,0,0,1.91873757739967,0.704530771718086,"12-18","13-18","714-999","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,171,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1057,1,0,0,1,1,1057,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.034,0.0510685813392148,0,0,0.981419168152133,0.464825845847488,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
